Geracao 1 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 2 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 3 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 4 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 5 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 6 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 7 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 8 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 9 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 10 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 11 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 12 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 13 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 14 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 15 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 16 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 17 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 18 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 19 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 20 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 21 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 22 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 23 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 24 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 25 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 26 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 27 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 28 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 29 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 30 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 31 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 32 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 33 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 34 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 35 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 36 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 37 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 38 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 39 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 40 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 41 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 42 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 43 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 44 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 45 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 46 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 47 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 48 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 49 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 50 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 51 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 52 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 53 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 54 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 55 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 56 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 57 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 58 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 59 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 60 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 61 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 62 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 63 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 64 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 65 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 66 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 67 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 68 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 69 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 70 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 71 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 72 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 73 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 74 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 75 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 76 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 77 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 78 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 79 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 80 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 81 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 82 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 83 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 84 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 85 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 86 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 87 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 88 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 89 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 90 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 91 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 92 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 93 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 94 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 95 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 96 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 97 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 98 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 99 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
Geracao 100 | Fitness: 0.364154 | Erro: 1.74609 | a: -0.725017 | b: 4.99299
